SLNo,InstitutionName,Address,Code, InstitutionType,ContactNumber,,
273,Creo Valley School of Film & Television,Bangalore,,professional,"8904030591,9035030591,9035048591,80-65691617",,
274,Crescent First Grade College for Women,Basavanagudi,,Degree/ Professional,080-26563356,,
275,CSI Goodwill Polytechnic For Women,Frazer Town,,professional,"9845779570,080-41493620",,
276,CSI Hospital,Bangalore,,Medical,080 2286 1103,,
277,CV Gurukul College of Commerce,Bangalore,,Degree/ Professional,080 2358 0311,,
278,CV Gurukula College,Bangalore,,Degree/ Professional,"080 2358 0311,","96867 13378,","91643 40960, 91084 83366"
279,D A Pandu Memorial R V Dental College,Bangalore,,Medical,903 55 11111,,
280,Dairy Science College,Bangalore,,Degree/ Professional,80-23414848;+91-80-23514575,,
,,,,Page 3,,,
,,,,,,,
281,Darshan College,Opp. R.V. Engineering College,Degree/ Professional,8028605444,,,
282,Dayanand Sagar College of Journalism,Kumarswamy Layout,Degree/ Professional,"080-42161750, 42161714, 46461800, 42161714",,,
283,Dayanand Sagar College of Pharmacy,Kumarswamy Layout,professional,"91-80-42161705, 42161706, 42161709, 42161750, 42161751",,,
284,Dayanand Sagar University School of Basic & Applied,Kumarswamy Layout,NEW-3,Degree/ Professional,8073246552,,
285,Dayananda College of Paramedical Sciences,Kumarswamy Layout,professional,9880510881,,,
286,Dayananda Sagar Academy of Technology & Management,Udayapura Kanakapura Road,Professional/ Technical,"+91-80-28432777, +91-80-28432999",,,
287,Dayananda Sagar Business Academy,Udayapura Kanakapura Road,professional,"080–26660789,23380659, 28432909",,,
288,Dayananda Sagar College of Arts,Kumarswamy Layout,Degree/ Professional,N/A,,,
289,Dayananda Sagar College of Dental Sciences,Kumarswamy Layout,Medical,"080-26660789, 080-26662226",,,
290,Dayananda Sagar College of Engineering,Kumarswamy Layout,Technical,"080 26662226 26665926, 26665910",,,
291,Dayananda Sagar College of Nursing,Kumarswamy Layout,professional,"91-80-42161705, 42161706, 42161709, 42161750, 42161751",,,
292,Dayananda Sagar College of Physiotherapy,Kumarswamy Layout,Professional/ Medical,"91-80-42161705, 42161706, 42161709, 42161750, 42161751",,,
293,Dayananda Sagar Institute of Technology,Udayapura Kanakapura Road,Technical,80 - 27739253,,,
294,Dayananda Sagar School of Nursing,Kumarswamy Layout,professional,"080 4216 1760, 80-42161705, 42161706,",,,
295,Dayananda University,Kudlu Gate,Degree/ Professional/Technical,080-49092924,,,
296,Devanga Sangha First Grade College,Sampangiramangar,Degree/ Professional,080 – 41133977,,,
297,Dhanvantari Nursing College,Chikkabanavara,professional,"91 9036014071, 98450 37355",,,
298,Dhanvanthri College of Management & Science,Chikkabanavara,Degree/ Professional,"080-6533 4071, 6533 4067, 98450 37355",,,
299,Dhanvanthri School of Nursing,Chikkabanavara,professional,"090360 14071, 98450 37355",,,
300,Dhanwantri College of Education,Chikkabanavara,professional,"8395881, 23700362, 8371708/8371742, 28377366",,,
301,Dharmasagara First Grade College,"Dommasandra,Bangalore",Degree/ Professional,IHC26,,,
302,Diamond College of Management and Science,Kithaganaur T.C. Palya,Degree/ Professional,"91-80-28474466, 32027309, 9449146200",,,
303,Diana College of Education,Ramakrishna Hegde Nagara,professional,98454 26897 / 98452 47297,,,
304,Diana College of Management Studies,Ramakrishna Hegde Nagara,Degree/ Professional,9845247297,,,
305,Diana College of Nursing,Bangalore,professional,98454 26897 / 98452 47297,,,
306,Diana School of Nursing,Bangalore,professional,"09845426897, 9845247297",,,
,,"2nd Block, Rajajinagara, Bengaluru-",,,,,
307,District Institute of Education and Training,,professional,9448999357/ 080-23320311,,,
,,10,,,,,
308,Divyajyothi ITC,Nelamangala,professional,9844046535,,,
309,Don Bosco College of Science and Management,Bommanahalii Hosur Main Road,Degree/ Professional,08025726214/25720634/ 41508670,,,
310,Don Bosco institute of Bio Science,Kumbalagodu,Degree/ Professional,"8880-716-716, 080-28437031",,,
311,Don Bosco Institute of Technology,Kumbalagodu,Technical,"080 28437028, 28437029, 28437030",,,
,,"No. 476, 40th Cross, 9th Main,",,,,,
312,Don Bosco School of Management,,Degree/ Professional,9845939033,,,
,,"Jayanagara 5th Block, Bengaluru-41",,,,,
313,Dr Ambedkar Degree College,HAL IInd Stage Indiranagar,Degree/ Professional,080 – 25278879 / 25261254,,,
314,Dr Ambedkar Institute of Management,HAL IInd Stage Indiranagar,Degree/ Professional,"080 – 25274994,",9448936629,,
315,Dr Ambedkar Institute of Technology,BANGALORE,Technical,080 23211505,,,
316,Dr B R Ambedkar Institute of Paramedical Science,Bangalore,professional,080 282 23 23 / 080-25476498,,,
317,Dr B R Ambedkar Medical College,Bangalore,Medical,"080 282 23 23 / 080-25476498, 080-25478-904",,,
318,Dr BR,Bangalore,professional,080 65309002/ 23525584/ 9243055188,,,
,,"No. 24, Ambedkar Medical College",,,,,
319,Dr BR Ambedkar Institute of Nursing,"and Hospital Campus,",professional,080-25477066/ 65725222,,,
,,"Kadugondanahalli, Bengaluru-45.",,,,,
320,Dr John's College of Nursing,Bangalore,professional,91 80 4946 6029; +91 80 4946 6030; +91 80 4946 6031,,,
321,Dr John's School of Nursing,Bangalore,professional,"098806 06006, 080- 28566115",,,
,Dr MC Modi Eye Hospital Institute of,"Dr. M.C Modi Road,",,,,,
322,,,professional,9611299009,,,
,Paramedical Sciences,"Mahalakshmipuram, Bengaluru-86.",,,,,
323,Dr MH Krishna Institute of Indology,Nrupathunga RoadBangalore,Degree/ Professional,(080) 22215034/ 22114272,,,
324,Dr NSAM First Grade College,Gollahalli Yelahanka,Degree/ Professional,08028463741 / 65666958,,,
325,Dr Rammanohar Lohia College of Law,Bannerghatta Road,professional,8065306093/ 08065306094,,,
326,Dr S Gopalaraju Government First Grade College,Anekal,Degree/ Professional,080-27859696,,,
327,Dr Shyamala Reddy College of Nursing,Bangalore,professional,"91 9964480444, 9538302100",,,
328,Dr Shyamala Reddy Dental College,Bangalore,Medical,"080-42229002, 080-42229001",,,
329,Dr Shyamala Reddy School of Nursing,Bangalore,professional,"080 - 42229001, 42229002",,,
330,Dr SR Chandrashekar Institute of Speech and Hearing,Hennur RoadBangalore,Degree/ Professional,080–25460405/ 25470037/ 25468470,,,
331,Dr Sri Sri Sri,"Byranayakanahalli, Nelamangala",professional,"080-27739252, 9035614203",,,
332,Dr Sri Sri Sri Shivakumara Mahaswamy College of Eng,"Byranayakanahalli, Nelamangala",C-1376,Technical,"080-27739251 , 27739254 , 27701250",,
333,EARTHA-Elements of Art and Heritage Academy,Bangalore,Degree/ Professional,(080) - 40945959 Mobile: 9880529878 / 9901859325,,,
334,East Point College of Engineering & Technology,Bangalore,Technical,080 2847 2999,,,
335,East Point College of Engineering for Women,Bangalore,Technical,9180 28472 999,,,
336,East Point College of Mangement,HRBR Layout Kalayanagar,Degree/ Professional,080 – 25452626,,,
337,East Point College of Medical Sciences and Research,Bangalore,C-58424,Medical,91 8028 472 999. 91 8025 073 904. 91 9916 865 999.,,
338,East Point College of Nursing,Bangalore,professional,"91 8028 472 999, 8025 073 904, 9916 865 999, 8025 073 903",,,
339,East Point College of Pharmacy,Bangalore,professional,"91 8028 472 999, 8025 073 904, 9916 865 999, 8025 073 903",,,
340,East West College of,Anjan Nagara Magadi Road,Degree/ Professional,080-23286732/23288237/23288899,,,
341,East West College of Engineering,Yelahanka,Technical,080-28566115,,,
342,East West College of Nursing,Anjan Nagara Magadi Road,professional,91 80 23322909 / 23321270 / 23321933,,,
343,East West College of Paramedical Sciences,Anjan Nagara Magadi Road,professional,8023286732,,,
344,East West College of Pharmacy,Bangalore,professional,91-9448224779,,,
345,East West First Grade College of Science,Anjan Nagara Magadi Road,Degree/ Professional,080-23286732/23288237/23288899,,,
346,East West Institute of Polytechnic,Yelahanka New Town,professional,"8023286732, 9844365958",,,
347,East West Institute of Technology,Anjan Nagara Magadi Road,Technical,,,,
348,East West Polytechnic,Anjan Nagara Magadi Road,Technical,080 2856 6116,,,
349,East West School of Nursing,Bangalore,professional,"098809 39168, 080-23286732",,,
350,Easy Education College,Nelamangala,professional,9731333330,,,
351,Eben Ezer College of Nursing,Bangalore,professional,"080-28444201 / 65971300, 080-65654909",,,
352,Eben Ezer School of Nursing,Bangalore,professional,080 2844 4201,,,
353,Ebenezer College,Horamavu Banaswadi,Degree/ Professional,80-28444201/02,,,
354,ESIC college of Nursing,"7th Main Road, Indiranagara",professional,080-25257959,,,
355,ESIC Medical College,Rajajinagar,Medical,"080-23125571, 23125572",,,
356,Eurindian Academy of Hotel Management,Kammanahalli,Degree/ Professional,080 25423582,,,
357,Faith British Academy,Ramachandrapura Jalahalli,Degree/ Professional,080 – 28380763/23457465,,,
358,Faith College of Nursing,Bangalore,professional,98866 04318,,,
359,Faith Institute of Nursing Sciences,Bangalore,professional,98866 04318,,,
360,Fame India Academy,Jayanagara 3rd Block,Degree/ Professional,9480193815,,,
361,Faran College of Management,Bangalore,Degree/ Professional,080- 2846 5525 / 2846 5505 / +91- 9916042220 / +91-9019494942,,,
362,Faran College of Nursing,Bangalore,professional,080- 25435959 / +91- 9916042220 / +91-9019494942,,,
363,Faran School of Nursing,Bangalore,professional,"076769 91188, 080-28465525 , 28465505,",080- 32910951,,
364,FAS First Grade College,Rajankunte,Degree/ Professional,N/A,,,
365,Father Mathews College of Nursing,Bangalore,professional,080 32948062,,,
,Fatima (D Ed) Teachers Training Institute For,"No. 91/1, Coles Road, Fraser",,,,,
366,,,professional,8048142676,,,
,Women,"Town, Bengaluru-05.",,,,,
367,Federal College of Management,Bank Colony Uttarahalli,Degree/ Professional,"8792897386, 9480337795",,,
368,Federal College of Nursing,Bangalore,professional,"080-65580003, 28440553, 9844361547",,,
369,Florence College of Nursing,Bangalore,professional,"080 - 2544 8311, 4120 9299",,,
370,Florence College of Physiotherapy,Hennur,professional/ Medical,"080 - 2544 8311, 4120 9299",,,
371,Florence Degree College,Huskur Road,Degree/ Professional,-27848191,,,
372,Florida College of Education,HBR Layout Kalyananagar,professional,"080 - 2544 8311, 4120 9299",,,
373,Florida College of Nursing,Bangalore,professional,"9880763420, (080) 25446379",,,
374,Florida School of Nursing,Bangalore,professional,"080512 09299, 080-25448311, 41209299,",,,
375,Fortis institute of Medical Sciences (Banneraghatta,"Bannerghatta Road, Opp:IIMB",E-010,Medical,8073668510,,
376,Frank College of Education,6th Phase J.P. Nagar,professional,080-26644696 M:+91-9880393009,,,
377,Full-in-Faws College,Akshayanagar Begur,Degree/ Professional,080 – 26481805,,,
378,Ganga Kaveri Institute of Science & Management,Rajajinagar 3rd Stage,Degree/ Professional,: 080 – 23527887 /23429917,,,
379,Gangothri College of Nursing,Bangalore,professional,9845471377,,,
380,Garden City College of Nursing,Bangalore,professional,080-66487600/25613583,,,
381,Garden City College of Physiotherapy,Bangalore,professional/ Medical,080-66487600/25613583,,,
,,,Page 4,,,,
,,,college list,,,,
382,Gateway College of Business Management,Rajajinagar 2nd Stage,C-20936,Degree/ Professional,080 – 23286732 / 8237/8899,,
383,Gautham College of Pharmacy,Bangalore,C-40107,professional,080 – 23334828,,
384,Gayathri College of Nursing,Bangalore,C-40351,professional,"080-23281209, 9900647799",,
385,Gayathri Devi College of Nursing,Bangalore,C-40577,professional,"080-23281209, 9900647799",,
386,Gayathri Institute of Nursing Sciences,Bangalore,C-40131,professional,"080-23281209, 9900647799",,
,,"Kottigepalya, Srigandadakaval,",,,,,
387,Gayathri Institute Of Paramedical Sciences,,BMTC-6,professional,23281209/ 9845019774,,
,,"Magadi Road, Bengaluru-91",,,,,
,,"Kottigepalya, Srigandadakaval,",,,,,
388,Gayathri School of Nursing,,S-4020,professional,"080 2328 1209,","080-23288781, 9845019774, 9900089855",
,,"Magadi Road, Bengaluru-91",,,,,
389,GB College of Nursing,Bangalore,C-54654,professional,9448052701,,
390,GEAR BEd College,Sarjapur Road Doddkanelli,C-21084,professional,"080-28440919, 28440099, 25741999",,
391,GEAR School of Graduate Studies,Sarjapur Road Doddakannelli,C-21117,Degree/ Professional,"080-28440919, 28440099, 25741999",,
,,"AIR Ext. Old Madras Road,",,,,,
392,GEF Institute of Optometry,,BMTC-21,professional/ Medical,080-27900101/ 9844789057,,
,,Hoskote-562114,,,,,
393,General Hospital Jayanagar,Jayanagar,PMB-059,professional/ Medical,"080 26637078, 9845980708",,
394,Ghousia College of Engineering,Ramanagara,C-1419,Technical,080-27271353/ 27273577,,
395,Ghousia ITI (Muneshwara Temple),Hosur Road,PU-29000047,professional,8025536268,,
396,Ghousia Polytechnic for Women,Bangalore,S-1223,professional,8197418965,,
397,GIBS Business School,Bangalore,C-58761,Degree/ Professional,91 8050 3000 60/ 70,,
398,Giridhar Ramanarayan Institute of Commercial Practi,Bangalore,S-1224,Degree/ Professional,"8022253240, 9449818686",,
399,Gitam Deemed to be University (Nagadevanahalli),Nagadevanahalli,NEW-73,Degree/ Professional/Technical,9448884556,,
400,GKVK Agriculture college,"GKVK,Bangalore",C-36456,Degree/ Professional,80-2333 0153 / 2333 0984,,
401,Global Academy of Technology,Bangalore,C-1253,Technical,"080 2860 3158, 2860 3157, 9243190105",,
,,"Hoskote Industrial Area,",,,,,
402,Global College Of Management Studies,"Pillagumpe, Chinthamani Road,",BMTC-34,Degree/ Professional,8892941545/ 9632501533,,
,,Bengaluru-562114.,,,,,
403,Global College of Management Studies,"R R Nagara,Bangalore",C-56703,Degree/ Professional,91-80-28602670,,
404,Global College of Nursing,Bangalore,C-40567,professional,080 - 65901545,,
405,Global Institute for Corporate Education,Bangalore,C-47833,Degree/ Professional,"08023517201, 9886922889",,
406,Global School of Nursing,Bangalore,S-4021,professional,"080 6590 1545, 92431 07127",,
407,GM College of Education,Arisina Kunte Nelamangala,C-20882,professional,080-27724211/2610,,
408,Gold Finch College of Nursing,Bangalore,C-40526,professional,080-23621859,,
409,Gold Finch School of Nursing,Bangalore,S-4024,professional,"087478 00065, 080 23621859",,
410,Golden Institute of Nursing Science,Bangalore,S-4023,professional,"076760 69748, 080 23488993",,
411,Goodwill Christain Womens College,Frazer Town,C-20594,Degree/ Professional,080 - 25567177,,
412,Gopalan College of Commerce (K R Puram),Bangalore,C-56837,Degree/ Professional,80 - 4122 6437,,
413,Gopalan College of Engineering & Management,Bangalore,C-1429,Technical,"080 42229748, 9739977740",,
414,Gopalan School of Architecture & Planning,Bangalore,C-52938,Technical,080 4090344,,
,,"No. 245-249, 40ft Road, Manjunath",,,,,
415,Goutham College Of Allied Health Sciences,"Nagara 1st Stage, West of Chord",BMTC-48,professional,080-23159301/ 23303737,,
,,"Road, Rajajinagara, Bengaluru-10.",,,,,
416,Goutham College of Education,Bangalore,C-51082,professional,80-23303737 / 23119904/23492763,,
417,Goutham College of Nursing,WOC Road Rajajinagar,C-40434,professional,91-80-23303737 / 23119904/23492763,,
418,Goutham College of Paramedical Sciences,Bangalore,S-15108,professional,80-23303737 / 23119904/23492763,,
,,"No. 1456, Shankar Mutt Road, 14th",,,,,
419,Goutham College of Physiotherapy,"Main, Mahalakshmi Layout,",BMTC-65,professional/ Medical,080-23303737/ 23492763,,
,,Bengaluru-86.,,,,,
420,Goutham college of science,WOC Road Rajajinagar,C-21010,Degree/ Professional,080-23303737,,
421,Goutham Institute of Nursing,Bangalore,S-4026,professional,"080-23303737, 23119904",,
422,Gouthami College of Nursing,Bangalore,C-44826,professional,"080-23303737, 23119904, 23492763",,
423,Gouthami School of Nursing,Bangalore,S-4028,professional,"080 23303737, 23119904, 23492763",,
424,Government,Bangalore,C-40563,Degree/ Professional,080-26408745,,
425,Government Arts College (K R Circle),K R Circle,BU-E027,Degree/ Professional,9180 22211115,,
426,Government Ayurvedic Medical College,Bangalore,C-40098,Medical,080 2287 2848,,
427,Government College of Pharmacy (Subbaiah Circle),Bangalore,C-40304,professional,080-2222 2681,,
428,Government Dental College,Bangalore,C-40178,Medical,080-26705053,,
429,Government Engineering College (Ramanagara),Ramanagara,C-1328,Technical,8027204390,,
,,"Hesaraghatta, Near Nrithyagrama,",,,,,
430,Government Film & T V Technical Institute,,S-1229,professional,9448810161,,
,,Bangalore-88,,,,,
431,Government First Grade College,Chickballapura-562101.,BMTC-124,Degree/ Professional,08156-272695,,
432,Government First Grade College,Rajajinagar,C-20679,Degree/ Professional,080 – 23121844,,
433,Government First Grade College (Bidadi),Kethaganahalli Bidadi,C-20961,Degree/ Professional,9916643810,,
434,Government First Grade College (Chikkaballapura),Chikkaballapur,C-21078,Degree/ Professional,8156272695,,
435,Government First Grade College (Devanhalli),Devanahalli,C-20626,Degree/ Professional,080-29780007,,
436,Government First Grade College (Doddaballapura),Doddaballapura,C-20895,Degree/ Professional,9448622324,,
437,Government First Grade College (Frazer Town),Frazer Town,C-21038,Degree/ Professional,080 – 25468522,,
438,Government First Grade College (Harohalli),"Harohalli, Kanakapura Road",C-20694,Degree/ Professional,"9742477599, 9591500222",,
439,Government First Grade College (Hesaragatta),Hesaragatta,C-20711,Degree/ Professional,80-28446604,,
440,Government First Grade College (Hoskote),Hoskote,C-21206,Degree/ Professional,080 27931542,,
441,Government First Grade College (Jayanagar),Jayanagar 6th Block,C-20595,Degree/ Professional,080 26768767,,
442,Government First Grade College (K.R. Puram),K.R. Puram,C-20751,Degree/ Professional,9180 25612375,,
443,Government First Grade College (Kadugudi),Kadugudi,C-21009,Degree/ Professional,080-28454946,,
444,Government First Grade College (Kengeri),Kengeri,C-21000,Degree/ Professional,080 – 28486513,,
445,Government First Grade College (Malleswaram),Malleshwaram 18th Cross,C-20804,Degree/ Professional,080 – 23560570,,
446,Government First Grade College (Nelamangala),Nelamangala,C-20840,Degree/ Professional,080-27722089,,
447,Government First Grade College (Peenya),Peenya,C-20794,Degree/ Professional,080 – 28399095,,
448,Government First Grade College (Ramanagara),Ramanagar,C- 20652,Degree/ Professional,9845622898,,
449,Government First Grade College (Sulibele),Sulibele,C-20851,Degree/ Professional,080 27952476,,
450,Government First Grade College (Thyamagondlu),Thyamagondlu,C-20891,Degree/ Professional,080 - 27731191,,
451,Government First Grade College (Varthur),Varthur,C-20740,Degree/ Professional,080 – 28538772,,
452,Government First Grade College (Vemagal),Vemagal,C-20623,Degree/ Professional,8512246499,,
453,Government First Grade College (Vijayanagar),Vijayanagar,C-20801,Degree/ Professional,080 – 23302141 / 23405575,,
454,Government First Grade College for Women (Doddaball,Doddaballapura,C-54663,Degree/ Professional,094486 22324,,
455,Government First Grade College Near (Yelahanka),Yelahanka NES Office,C-21239,Degree/ Professional,080 – 28565188,,
456,Government First Grade College(HSR Agara),HSR Agara,C-20987,Degree/ Professional,9180 22584010,,
457,Government Homoeopathic Medical College,Bangalore,C-40213,Medical,8023359413,,
458,Government ITI,"Tumkur Road ,Peenya",GU29000229,professional,8029754171,,
459,Government ITI (Anekal),Anekal,GU29001424,professional,080-29785525,,
460,Government ITI (Devanahalli),Devanahalli,GR29000108,professional,9916852249,,
461,Government ITI (Doddaballapura),Doddaballapura,GU29001519,professional,080-27622047,,
462,Government ITI (Doddadunnasandra),Doddadunnasandra Hosakote,GR29001465,professional,8027945030,,
463,Government ITI (Domlur),Domlur,GU29000213,professional,8025300947,,
464,Government ITI (Harohalli),Harohalli,GR29000792,professional,9916598244,,
465,Government ITI (Nelamangala),Nelamangala,GR29001524,professional,9448520519,,
,,"Mayaganahalli, Ramanagara-",,,,,
466,Government ITI (Ramanagar),,BMTC-92,professional,080-29782101/ 28792101,,
,,562128,,,,,
467,Government ITI (Shidlaghatta),"Shidlaghatta, Chikkaballapura",GR29000924,professional,08158-256988,,
468,Government ITI (Tumkur Road),"Tumkur Road, Peenya",GR29001483,professional,"080-23379417, 9845849365",,
469,Government ITI (Women) Dairy Circle,Hosur Road,GU29000214,professional,8022446821,,
470,Government ITI (Women) Hosakerehalli,Hosakerehalli,GU29000926,professional,8026423177,,
471,Government Law College (Ramanagara),Ramanagara,C-9817,professional,9986042189,,
472,Government Model ITI (Hosur Road),Dairy Circle,GU29000014,professional,"080-26562307, 7411490696",,
473,Government Polytechnic (Channasandra),Bangalore,S-1294,professional,80 – 28453760,,
474,Government Polytechnic (Immadihalli),Immadihalli,POY-175,professional,080 28454040,,
475,Government Polytechnic (Ramanagara),Ramanagara,NEW-21,professional,8027307418,,
476,Government R C College (Race Course Road),Race Course Road,C-20606,Degree/ Professional,080-22262889,,
,,,,Page 5,,,
,,,,,,,
477,Government R C Institute of Business Management (K R Circle)K R Circle,,Degree/ Professional,"080 22371396, 29700245",,,
478,Government School of Nursing K C General Hospital (,Malleshwaram Circle,NUR-674,professional/ Medical,08023341771/23343791 / 23341771,,
479,Government School of Nursing Victoria Hospital,Bangalore,professional/ Medical,080 2670 8745,,,
480,Government Science College (Nrupathunga Road),Nrupathunga Road,Degree/ Professional,9180 22212924,,,
481,Government SKSJ Technological Institute (K R Circle,K R Circle,C-1348,Technical,080 2226 0126,,
482,Government Tool Room & Training Centre,Rajajinagar Industrial Estate,professional,"80-23152118, 23152119, 23301683, 9141629585",,,
483,Government Tool Room & Training Centre(ETC/MTC) (Ra,Rajajinagar,S-1222,professional,9738465834,,
484,Government Tool Room & Training Centre(PDTD)(Rajaji,Rajajinagar Industrial Area,STU-4a,professional,9480690816,,
485,Government Unani Medical College,Bangalore,Medical,080-23116061,,,
486,Government Womens Polytechnic,Bangalore,professional,9901090654,,,
487,Government womens polytechnic (Ramanagara),Ramanagara,professional,080-27276032,,,
488,Gowtham College of physiotherapy (Mahalakshmi Layou,Mahalakshmi layout,T-003,professional/ Medical,080-23303737,,
489,GR College of Arts,Agara,Degree/ Professional,80 2842 7442 / 216,,,
,,"No. 21, Thippasandra Main Road,",,,,,
490,Green Mountain College,,Degree/ Professional,080-41600348/ 8892365868,,,
,,"HAL 3rd Stage, Bengaluru-75.",,,,,
491,GRR College of Nursing,Bangalore,professional,"080 28361988, 9845191006",,,
492,GRV Business Management Academy,Ganganagar,Degree/ Professional,080 23337848/ 49,,,
493,"GS ITI (College Rd, Hosakote)",Hosakote,professional,9740528128,,,
494,"GS ITI (Pillagumpe, Hosakote)","Hosakote Industrial Area, Pillagumpe",professional,9844821887,,,
495,GT Institute Management Studies & Research,Sunkadakatte,Degree/ Professional,(080) 2348-5545 | +91 98440,,,
496,GT Institute of Advanced Studies,Sunkadakatte,Degree/ Professional,(080) 2348-5545 | +91 98440 ,,,
497,Gupta College(BSK 3rd Stage),BSK 3rd Stage,Degree/ Professional,080-26420102,,,
498,Gurukul Education & Management Studies,Bangalore,Degree/ Professional,"080 - 32526074, 080 - 32526075",,,
499,Hamsalekha Desi Vidya Samsthe,Bangalore,Degree/ Professional,080-23592199/9844333399,,,
500,Harsha College of Nursing,Bangalore,professional,"080-27723697, 27723695",,,
501,Harsha Institute of Allied,Bangalore,professional,"080-27723697, 27723695",,,
502,Harsha Institute of Paramedical Sciences,Bangalore,professional,9448040825,,,
503,Harsha Institute of Physiotherapy,Bangalore,professional/ Medical,"080-27723697, 27723695",,,
504,Harsha School of Nursing,Bangalore,professional,"094480 40825, : 9483520211, 9663566667",,,
505,Harward Institute of Management & Science,Dasanapura Village,Degree/ Professional,N/A,,,
506,Hasanath College,Hennur Bande,Degree/ Professional,8025431489,,,
507,Hasnath Academy of Management Studies,Dickenson Road,Degree/ Professional,080 25362423,,,
508,Hasnath College for Women,Dickenson Road,Degree/ Professional,080-25514752/25362423/25300504,,,
509,Havanur College of Law,Bangalore,professional,080 64536800,,,
510,HCG college of Allied health Sciences,Sampangirama Nagar,professional,9844234866,,,
,,"Geneva Campus, 1st Mile Cross,",,,,,
,,"Gerupalya, Big Banyan Tree Road,",,,,,
511,Heera College of Commerce,,Degree/ Professional,8123912225,,,
,,"Kumbulugud Post, Kengeri,",,,,,
,,Bengaluru-74,,,,,
512,HEHS Institute of Para Medical Sciences(Amruthahall,Amruthahalli,kA-02PMC-05,professional,"080-40928888, 8711093699",,
513,HEHS Institute of Para Medical Sciences(Doddaballap,Doddaballapura,kA-02PMC-01,professional,"9141374767, 9845008181",,
514,HHS & HMS ITI,Cubbonpet Main Road,professional,080-22132587,,,
515,Hill Side Ayurveda Medical College And Hospital,Bangalore,Medical,"080-65587775, 080-6558 7776, 098459 56633, 097428 03553",,,
516,Hill Side College of Nursing,Bangalore,professional,"080- 22722019, 22560097",,,
517,Hill Side College of Pharmacy,Bangalore,professional,"80- 22560096, 91-9243788829, 9243788820",,,
518,Hill Side Institute of Management,Raghuvanahalli,Degree/ Professional,"80-65466176, 9243788830",,,
519,Hill Side School of Nursing,Bangalore,professional,"098459 56633,","09243788844, 9243788833",,
520,Hina College of Nursing,Bangalore,professional,"080 -28567958, 22724325, 41757157,",,,
521,Hina School of Nursing,Bangalore,professional,"080 4175 7157, 080-28567958",,,
,,"PB No. 3776, Ashwath Nagara,",,,,,
522,Hindustan Aviation Academy,,Degree/ Professional,080-25238650/25232448,,,
,,"Marathahalli Post, Bengaluru-37.",,,,,
,,"PB No. 3776, Ashwath Nagara,",,,,,
523,Hindustan Business School,,Degree/ Professional,9590674814,,,
,,"Marathahalli Post, Bengaluru-37.",,,,,
524,Hindustan Business School (Chennappanahalli),Chennappanahalli K.R. Puram,Degree/ Professional,"65467129, 65607448",,,
525,Hindustan Electronic Academy Polytechnic,Bangalore,professional,"8025238650, 9980379739",,,
526,HKBK College of engineering,Nagawara,Technical,"8025441722/3744/3690,9986179904",,,
527,HKBK Degree College (KSMF First Grade College),Contonment Railway Station Road,Degree/ Professional,80-25305232,,,
528,HKES Veerendrapatil Degree College,Sadashivanagar,Degree/ Professional,080 2361 1327,,,
,,"No. 41/1, 9th Main, 11th Cross,",,,,,
,,"Hennur Maruthi Layout, HBR 4th",,,,,
529,HMR Chickkagullappa Education Trust (R),,Degree/ Professional,080-25435599/ 7338188834,,,
,,"Block, Kalyan Nagar Post,",,,,,
,,Bengaluru-43.,,,,,
530,HMR School of Nursing,Bangalore,professional,080 28389377,,,
531,Holy Mother Institute of Nursing,Bangalore,professional,"080954 79757, 65617916",,,
532,Hosakote Mission Institute of Nursing,Bangalore,professional,"080-27934696, 27931279, 9986448784",,,
533,Hosmat College of Nursing,Bangalore,professional,"080-25575590, 080-25593798",,,
534,Hosmat College of Physiotherapy,Bangalore,professional/ Medical,"080-25593796, 25543797",,,
535,Hosmat Education Institute of OTT,Bangalore,Degree/ Professional,"080-25593796, 25543797",,,
536,Hosmat Institute of Medical Sciences,Bangalore,Medical,"080-25593796, 25543797",,,
537,IBMR International Business School,Koramangala,Degree/ Professional,(080) 65680633/ 7795852804,,,
538,IBMT College of Graduate Studies,BSK 3rd Stage,Degree/ Professional,N/A,,,
,,"No. 424, Hosur Main Road,",,,,,
539,ICAT Design and Media College,,Degree/ Professional,080-41107755,,,
,,"Bommanahalli, Bengaluru-68.",,,,,
540,ICBIO,Bangalore,Degree/ Professional,9901111992,,,
541,ICFAI Business School (IBS business School),Kengeri,Degree/ Professional,080-66222222,,,
542,IFIM College,Electronic City Ist Phase,Degree/ Professional,080 4143 2800,,,
543,IFIM Law College,Bangalore,professional,9900067704/80-41432800 / 41432888,,,
544,IIFA Education Trust,Nagadevanahalli,Degree/ Professional,"9916599700, Lakshmi 9008900072",,,
,,"No. 5 14/2, Suvarnajyothi Layout,",,,,,
545,IIFA Lancaster Degree College,,Degree/ Professional,9845006824/ 9916599700,,,
,,"Nagadevanahalli, Bengaluru-56",,,,,
546,Ikon Nursing College,Bangalore,professional,"080-2727 8251, 09845245424",,,
547,Impact College of Engg & Applied Science,Bangalore,Professional/ Technical,"088808 10015, (080) 23334101",,,
548,Impact Polytechnic,Bangalore,professional,9880280038,,,
549,Impact School of Architecture,Sahakar Nagar,Technical,"(080) 23334101 , 23621101",,,
550,Indian Academy College of Nursing,Bangalore,professional,080 2544 6926,,,
551,Indian Academy School of Management Studies,Bangalore,Technical,9180-67458900,,,
